# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).

#  ombh2   DeltaN    Yp    

52 25

0.005000 -0.250000 0.223610
0.006000 -0.250000 0.226664
0.007000 -0.250000 0.228967
0.008000 -0.250000 0.230795
0.009000 -0.250000 0.232313
0.010000 -0.250000 0.233575
0.011000 -0.250000 0.234699
0.012000 -0.250000 0.235677
0.013000 -0.250000 0.236565
0.014000 -0.250000 0.237356
0.015000 -0.250000 0.238081
0.016000 -0.250000 0.238751
0.017000 -0.250000 0.239379
0.018000 -0.250000 0.239932
0.019000 -0.250000 0.240470
0.020000 -0.250000 0.240978
0.020200 -0.250000 0.241072
0.020400 -0.250000 0.241166
0.020600 -0.250000 0.241264
0.020800 -0.250000 0.241369
0.021000 -0.250000 0.241454
0.021200 -0.250000 0.241548
0.021400 -0.250000 0.241647
0.021600 -0.250000 0.241728
0.021800 -0.250000 0.241812
0.022000 -0.250000 0.241905
0.022200 -0.250000 0.241997
0.022400 -0.250000 0.242071
0.022600 -0.250000 0.242163
0.022800 -0.250000 0.242242
0.023000 -0.250000 0.242329
0.023200 -0.250000 0.242422
0.023400 -0.250000 0.242504
0.023600 -0.250000 0.242582
0.023800 -0.250000 0.242645
0.024000 -0.250000 0.242740
0.025000 -0.250000 0.243140
0.026000 -0.250000 0.243488
0.027000 -0.250000 0.243832
0.028000 -0.250000 0.244177
0.029000 -0.250000 0.244517
0.030000 -0.250000 0.244828
0.031000 -0.250000 0.245138
0.032000 -0.250000 0.245416
0.033000 -0.250000 0.245696
0.034000 -0.250000 0.245966
0.035000 -0.250000 0.246232
0.036000 -0.250000 0.246485
0.037000 -0.250000 0.246739
0.038000 -0.250000 0.246981
0.039000 -0.250000 0.247197
0.040000 -0.250000 0.247426
0.005000 0.000000 0.226923
0.006000 0.000000 0.230014
0.007000 0.000000 0.232335
0.008000 0.000000 0.234176
0.009000 0.000000 0.235718
0.010000 0.000000 0.236999
0.011000 0.000000 0.238119
0.012000 0.000000 0.239109
0.013000 0.000000 0.239978
0.014000 0.000000 0.240780
0.015000 0.000000 0.241516
0.016000 0.000000 0.242198
0.017000 0.000000 0.242799
0.018000 0.000000 0.243357
0.019000 0.000000 0.243905
0.020000 0.000000 0.244419
0.020200 0.000000 0.244524
0.020400 0.000000 0.244614
0.020600 0.000000 0.244692
0.020800 0.000000 0.244801
0.021000 0.000000 0.244900
0.021200 0.000000 0.244987
0.021400 0.000000 0.245061
0.021600 0.000000 0.245160
0.021800 0.000000 0.245258
0.022000 0.000000 0.245357
0.022200 0.000000 0.245450
0.022400 0.000000 0.245511
0.022600 0.000000 0.245611
0.022800 0.000000 0.245685
0.023000 0.000000 0.245775
0.023200 0.000000 0.245851
0.023400 0.000000 0.245937
0.023600 0.000000 0.246016
0.023800 0.000000 0.246110
0.024000 0.000000 0.246179
0.025000 0.000000 0.246571
0.026000 0.000000 0.246919
0.027000 0.000000 0.247276
0.028000 0.000000 0.247627
0.029000 0.000000 0.247944
0.030000 0.000000 0.248250
0.031000 0.000000 0.248556
0.032000 0.000000 0.248848
0.033000 0.000000 0.249122
0.034000 0.000000 0.249403
0.035000 0.000000 0.249666
0.036000 0.000000 0.249934
0.037000 0.000000 0.250158
0.038000 0.000000 0.250407
0.039000 0.000000 0.250632
0.040000 0.000000 0.250855
0.005000 0.250000 0.230128
0.006000 0.250000 0.233253
0.007000 0.250000 0.235597
0.008000 0.250000 0.237457
0.009000 0.250000 0.238993
0.010000 0.250000 0.240295
0.011000 0.250000 0.241416
0.012000 0.250000 0.242409
0.013000 0.250000 0.243282
0.014000 0.250000 0.244096
0.015000 0.250000 0.244808
0.016000 0.250000 0.245488
0.017000 0.250000 0.246110
0.018000 0.250000 0.246680
0.019000 0.250000 0.247214
0.020000 0.250000 0.247708
0.020200 0.250000 0.247832
0.020400 0.250000 0.247921
0.020600 0.250000 0.248022
0.020800 0.250000 0.248116
0.021000 0.250000 0.248193
0.021200 0.250000 0.248300
0.021400 0.250000 0.248391
0.021600 0.250000 0.248480
0.021800 0.250000 0.248561
0.022000 0.250000 0.248652
0.022200 0.250000 0.248736
0.022400 0.250000 0.248821
0.022600 0.250000 0.248920
0.022800 0.250000 0.248999
0.023000 0.250000 0.249074
0.023200 0.250000 0.249162
0.023400 0.250000 0.249254
0.023600 0.250000 0.249325
0.023800 0.250000 0.249404
0.024000 0.250000 0.249489
0.025000 0.250000 0.249870
0.026000 0.250000 0.250245
0.027000 0.250000 0.250580
0.028000 0.250000 0.250930
0.029000 0.250000 0.251259
0.030000 0.250000 0.251564
0.031000 0.250000 0.251871
0.032000 0.250000 0.252171
0.033000 0.250000 0.252440
0.034000 0.250000 0.252708
0.035000 0.250000 0.252980
0.036000 0.250000 0.253220
0.037000 0.250000 0.253476
0.038000 0.250000 0.253718
0.039000 0.250000 0.253949
0.040000 0.250000 0.254172
0.005000 0.500000 0.233201
0.006000 0.500000 0.236371
0.007000 0.500000 0.238737
0.008000 0.500000 0.240608
0.009000 0.500000 0.242165
0.010000 0.500000 0.243474
